,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_tax_rate
48,Egypt,20.0,20.0,20.0,20.0,25.0,25.0,25.0,22.5,22.5,22.5,23.0,22.5,22.5,22.5,22.5,22.366666666666667
52,Finland,26.0,26.0,26.0,26.0,24.5,24.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.2
58,United Kingdom of Great Britain and Northern Ireland,28.0,28.0,28.0,26.0,24.0,23.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,22.133333333333333
105,Madagascar,25.0,24.0,24.0,23.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.133333333333333
30,Chile,17.0,17.0,17.0,20.0,20.0,20.0,21.0,22.5,24.0,25.0,25.0,25.0,25.0,10.0,27.0,21.033333333333335
29,Switzerland,21.174438,21.174438,21.174438,21.174438,21.174438,21.148581,21.148581,21.148581,21.148581,21.148581,21.148581,21.148581,21.148581,19.698516,19.699,20.96389026666667
26,Brunei Darussalam,30.0,25.5,23.5,22.0,21.0,20.0,20.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20.666666666666668
146,Slovakia,19.0,19.0,19.0,19.0,19.0,23.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,20.666666666666668
87,Kazakhstan,30.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.666666666666668
156,Turkey,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,20.0,23.0,20.6
50,Estonia,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.466666666666665
12,Azerbaijan,22.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.266666666666666
137,Russian Federation,24.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.266666666666666
25,Barbados,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,5.5,5.5,5.5,5.5,20.133333333333333
160,Ukraine,25.0,25.0,25.0,25.0,21.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.133333333333333
139,Saudi Arabia,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21,Belize,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,20.0
1,Afghanistan,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
8,Armenia,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,19.6
20,Belarus,24.0,24.0,24.0,24.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.6
80,Iceland,15.0,15.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.2
72,Croatia,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,19.2
42,Czechia,21.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.2
157,Taiwan,25.0,25.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,20.0,19.066666666666666
130,Poland,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
147,Slovenia,22.0,21.0,20.0,20.0,18.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,18.866666666666667
85,Jordan,25.0,25.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.666666666666668
56,Faroe Islands,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
90,Kuwait,55.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.666666666666668
142,Singapore,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.133333333333333
144,San Marino,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
100,Latvia,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,16.666666666666668
70,"China, Hong Kong Special Administrative Region",16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
136,Romania,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
91,Lebanon,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,15.533333333333333
98,Lithuania,15.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.333333333333334
73,Hungary,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,9.0,9.0,9.0,9.0,9.0,9.0,15.133333333333333
134,State of Palestine,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
79,Iraq,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
115,Mauritius,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
59,Georgia,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
62,Gibraltar,33.0,27.0,22.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.5,12.5,13.8
95,Liechtenstein,20.0,20.0,15.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,13.666666666666666
135,Qatar,35.0,35.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.333333333333334
145,Serbia,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.333333333333334
4,Albania,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0
124,Oman,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,13.0
77,Ireland,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
101,"China, Macao Special Administrative Region",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
41,Cyprus,10.0,10.0,10.0,10.0,10.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,11.666666666666666
163,Uzbekistan,10.0,10.0,9.0,9.0,9.0,9.0,8.0,7.5,7.5,7.5,14.0,12.0,15.0,15.0,15.0,10.5
19,Bosnia and Herzegovina,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
133,Paraguay,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
108,The former Yugoslav Republic of Macedonia,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
16,Bulgaria,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
110,Montenegro,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,9.4
36,Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,9.333333333333334
106,Maldives,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0
104,Republic of Moldova,0.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.4
5,Andorra,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.333333333333333
18,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
